iata,name,country,continent,comment
0B,Blue Air,Romania,Europe,
0C,IBL Aviation,Mauritius,Africa,
0D,Darwin Airline,Switzerland,Europe,
0J,Jetclub,Switzerland,Europe,
0V,Vietnam Air Services Company,Vietnam,Asie,
1A,Amadeus IT Group,Spain,Europe,
1B,Abacus International,Singapore,Asie,Computer reservation system
1C,Electronic Data Systems,Switzerland,Europe,
1D,Radixx,United States,North America,
1E,Travelsky Technology,China,Asie,
1F,INFINI Travel Information,Japan,Asie,Computer Reservation System
1G,Galileo International,United States,North America,
1H,Siren-Travel,Russia,Europe,
1I,Deutsche Rettungsflugwacht,Germany,Europe,
1K,Southern Cross Distribution,Australia,Oceania,
1L,Open Skies Consultative Commission,United States,North America,
1M,JSC Transport Automated Information Systems,Russia,Europe,
1N,Navitaire,United States,North America,
1P,Worldspan,United States,North America,
1Q,Sirena,Russia,Europe,
1R,Hainan Phoenix Information Systems,China,Asie,
1S,Sabre,United States,North America,
1T,Hitit Computer Services,Turkey,Asie,Computer reservation system
1U,ITA Software,United States,North America,Computer reservation system
1Y,Electronic Data Systems,United States,North America,
1Z,Sabre Pacific,Australia,Oceania,
2A,Deutsche Bahn,Germany,Europe,
2C,SNCF,France,Europe,
2F,Frontier Flying Service,United States,North America,
2G,Cargoitalia,Italy,Europe,
2G*,San Juan Airlines,United States,North America,
2H,Thalys,Belgium,Europe,Not an airline (train). Used for  codesharing
2J,Air Burkina,Burkina Faso,Africa,
2K,Avianca Ecuador,Ecuador,South America,Aerolíneas Galápagos SA
2L,Helvetic Airways,Switzerland,Europe,
2M,Moldavian Airlines,Moldova,Europe,
2N,NextJet,Sweden,Europe,
2O,Air Salone,Sierra Leone,Africa,
2P,Air Philippines,Philippines,Asie,
2Q,Air Cargo Carriers,United States,North America,
2R,Via Rail Canada,Canada,North America,
2S,Island Express,United States,North America,
2T,Timbis Air,Kenya,Africa,
2U,Air Guinee Express,Guinea,Africa,
2V*,Amtrak,United States,North America,Train services only
2W,Welcome Air,Austria,Europe,
2Z,Chang An Airlines,China,Asie,
3C,Calima Aviación,Spain,Europe,
3J,Zip,Canada,North America,ICAO Code and callsign no longer allocated
3K,Jetstar Asia Airways,Singapore,Asie,
3L,Air Arabia Abu Dhabi,United Arab Emirates,Asie,
3M,Silver Airways,United States,North America,
3N,Air Urga,Ukraine,Europe,
3O,Air Arabia Maroc,Morocco,Africa,This ICAO designator was previously used by
3P,Tiara Air,Aruba,North America,
3R,Moskovia Airlines,Russia,Europe,JSC
3S,Air Guyane Express,French Guiana,South America,
3T,Turan Air,Azerbaijan,Europe,
3U,Sichuan Airlines,China,Asie,
3V,TNT  Airways,Belgium,Europe,
3W,Euromanx Airways,Austria,Europe,
3W*,Wan Air,French Polynesia,Oceania,defunct
3X,Japan Air Commuter,Japan,Asie,
3Z,Smartwings Poland,Poland,Europe,formerly named Travel Service Poland
4A,Air Kiribati,Kiribati,Oceania,
4B,Boutique Air,United States,North America,
4C,"Aires, Aerovías de Integración Regional, S.A.",Colombia,South America,renamed to LAN Colombia
4D,Air Sinai,Egypt,Africa,
4F,Air City,Germany,Europe,
4G,Gazpromavia,Russia,Europe,
4G*,Advance Leasing Company,United States,North America,
4H,United Airways,Bangladesh,Asie,
4I,Knighthawk Air Express,Canada,North America,
4K*,Askari Aviation,Pakistan,Asie,
4M,LATAM Argentina,Argentina,South America,
4N,Air North Charter,Canada,North America,
4O,Interjet,Mexico,North America,Defunct in 2020
4R,Star East Airline,Romania,Europe,
4S,Finalair Congo,Republic of the Congo,Africa,
4T,Belair Airlines,Switzerland,Europe,
4U,Germanwings,Germany,Europe,
4Y,Airbus Industrie,France,Europe,
4Z,Airlink,South Africa,Africa,
5A,Alpine Air Express,United States,North America,
5C,CAL Cargo Air Lines,Israel,Asie,
5D,Aeroméxico Connect,Mexico,North America,
5F,Arctic Circle Air Service,United States,North America,
5G,Skyservice Airlines,Canada,North America,defunct
5J,Cebu Pacific,Philippines,Asie,
