iata,name,city,country,continent,timezone
AAA,Anaa Airport,Anaa,French Polynesia,Oceania,UTC−10:00
AAB,Arrabury Airport,Arrabury,Australia,Oceania,UTC+10:00
AAC,El Arish International Airport,El Arish,Egypt,Africa,UTC+02:00
AAD,Adado Airport,Adado,Somalia,Africa,UTC+03:00
AAE,Rabah Bitat Airport,Annaba,Algeria,Africa,UTC+01:00
AAF,Apalachicola Regional Airport,Apalachicola,United States,North America,UTC−05:00
AAG,Arapoti Airport,Arapoti,Brazil,South America,UTC−03:00
AAH,Merzbrück Airport,Aachen,Germany,Europe,UTC+01:00
AAI,Arraias Airport,Arraias,Brazil,South America,UTC−03:00
AAJ,Cayana Airstrip,Awaradam,Suriname,South America,UTC−03:00
AAK,Aranuka Airport,Aranuka,Kiribati,Oceania,UTC+12:00
AAL,Aalborg Airport,Aalborg,Denmark,Europe,UTC+01:00
AAM,Mala Mala Airport,Mala Mala,South Africa,Africa,UTC+02:00
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,Asia,UTC+04:00
AAO,Anaco Airport,Anaco,Venezuela,South America,UTC−04:00
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,Indonesia,Asia,UTC+08:00
AAQ,Anapa Airport,Anapa,Russia,Europe,UTC+03:00
AAR,Aarhus Airport,Aarhus,Denmark,Europe,UTC+01:00
AAS,Apalapsili Airport,Apalapsili,Indonesia,Asia,UTC+09:00
AAT,Altay Airport,Altay,China,Asia,UTC+08:00
AAU,Asau Airport,Asau,Samoa,Oceania,UTC+13:00
AAV,Allah Valley Airport,Surallah,Philippines,Asia,UTC+08:00
AAX,Araxá Airport,Araxá,Brazil,South America,UTC−03:00
AAY,Al Ghaydah Airport,Al Ghaydah,Yemen,Asia,UTC+03:00
AAZ,Quetzaltenango Airport,Quetzaltenango,Guatemala,North America,UTC−06:00
ABA,Abakan International Airport,Abakan,Russia,Asia,UTC+07:00
ABB,Asaba International Airport,Asaba,Nigeria,Africa,UTC+01:00
ABC,Albacete Airport,Albacete,Spain,Europe,UTC+01:00
ABD,Abadan International Airport,Abadan,Iran,Asia,UTC+03:30
ABE,Lehigh Valley International Airport,Allentown,United States,North America,UTC−05:00
ABF,Abaiang Atoll Airport,Abaiang,Kiribati,Oceania,UTC+12:00
ABG,Abingdon Airport,Abingdon Downs,Australia,Oceania,UTC+10:00
ABH,Alpha Airport,Alpha,Australia,Oceania,UTC+10:00
ABI,Abilene Regional Airport,Abilene,United States,North America,UTC−06:00
ABJ,Port Bouet Airport,Abidjan,Côte d'Ivoire,Africa,UTC+00:00
ABK,Kabri Dar Airport,Kebri Dahar,Ethiopia,Africa,UTC+03:00
ABL,Ambler Airport,Ambler,United States,North America,UTC−09:00
ABM,Northern Peninsula Airport,Bamaga,Australia,Oceania,UTC+10:00
ABN,Albina Airstrip,Albina,Suriname,South America,UTC−03:00
ABO,Aboisso Airport,Aboisso,Côte d'Ivoire,Africa,UTC+00:00
ABP,Atkamba Airport,Atkamba,Papua New Guinea,Oceania,UTC+10:00
ABQ,Albuquerque International Sunport,Albuquerque,United States,North America,UTC−07:00
ABR,Aberdeen Regional Airport,Aberdeen,United States,North America,UTC−06:00
ABS,Abu Simbel Airport,Abu Simbel,Egypt,Africa,UTC+02:00
ABT,Al-Baha Domestic Airport,Al Bahah,Saudi Arabia,Asia,UTC+03:00
ABU,Haliwen Airport,Atambua,Indonesia,Asia,UTC+08:00
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,Africa,UTC+01:00
ABW,Abau Airport,Abau,Papua New Guinea,Oceania,UTC+10:00
ABX,Albury Airport,Albury,Australia,Oceania,UTC+10:00
ABY,Southwest Georgia Regional Airport,Albany,United States,North America,UTC−05:00
ABZ,Aberdeen Airport,Aberdeen,United Kingdom,Europe,UTC+00:00
ACA,General Juan N. Álvarez International Airport,Acapulco,Mexico,North America,UTC−06:00
ACB,Antrim County Airport,Bellaire,United States,North America,UTC−05:00
ACC,Kotoka International Airport,Accra,Ghana,Africa,UTC+00:00
ACD,Alcides Fernández Airport,Acandí,Colombia,South America,UTC−05:00
ACE,Lanzarote Airport,Lanzarote,Spain,Europe,UTC+00:00
ACH,St. Gallen–Altenrhein Airport,Altenrhein,Switzerland,Europe,UTC+01:00
ACI,Alderney Airport,Alderney,United Kingdom,Europe,UTC+00:00
ACJ,Anuradhapura Airport,Anuradhapura,Sri Lanka,Asia,UTC+05:30
ACK,Nantucket Memorial Airport,Nantucket,United States,North America,UTC−05:00
ACL,Aguaclara Airport,Aguaclara,Colombia,South America,UTC−05:00
ACM,Arica Airport,Arica,Colombia,South America,UTC−05:00
